file,orig_bytes,webp_bytes,ratio
dia4-teamlab-v2.png,595079,93590,0.157,kept
dia4-teamlab-v3.png,3758211,738930,0.197,kept
dia4-teamlab.png,782721,102480,0.131,kept
dia5-gion-v2.png,3326124,462690,0.139,kept
dia5-gion-v3.jpg,3114118,292252,0.094,kept
dia5-gion.png,983246,104144,0.106,kept
dia5-kiyomizudera.jpg,817597,357540,0.437,kept
dia6-fushimiinari-entrada.png,555109,55396,0.1,kept
dia6-fushimiinari-v2.png,-1,-1,ERROR,cannot identify image file '/sessions/rcw-0186khjvzszodjtnuiaqxtdm/mnt/alpinea-website/public/images/dia6-fushimiinari-v2.png'
dia6-fushimiinari-v3.png,139150,38922,0.28,kept
dia6-fushimiinari.png,737162,63162,0.086,kept
dia6-kinkakuji.png,2799387,349388,0.125,kept
dia7-akihabara.png,3032504,430370,0.142,kept
dia7-izakaya-kanda-v2.png,2554987,284658,0.111,kept
